"method_1","analysis_type","cluster_id_1","candidate_key_1","n_exons_1","n_subjects_1","n_events_1","diameter_1d_1","diameter_3d_1","p_1d_joint_1","p_3d_joint_1","p_any_joint_1","hotspot_class_1","significant_1d_1","significant_3d_1","significant_any_1","compactness_testable_1","method_2","matched_cluster_id_2","matched_candidate_key_2","matched_n_exons_2","matched_n_subjects_2","matched_n_events_2","matched_diameter_1d_2","matched_diameter_3d_2","matched_p_1d_joint_2","matched_p_3d_joint_2","matched_p_any_joint_2","matched_hotspot_class_2","matched_significant_1d_2","matched_significant_3d_2","matched_significant_any_2","matched_compactness_testable_2","jaccard_similarity","exact_match","significance_agrees","hotspot_class_agrees"
"complete","HETDEL","HETDEL_cluster_0013","1",1,18,18,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0013","1",1,18,18,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0014","2",1,56,56,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0014","2",1,56,56,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0015","3",1,54,54,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0015","3",1,54,54,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0016","4",1,56,56,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0016","4",1,56,56,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0017","5",1,56,56,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0017","5",1,56,56,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0018","6",1,43,43,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0018","6",1,43,43,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0019","7",1,41,41,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0019","7",1,41,41,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0020","8",1,39,39,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0020","8",1,39,39,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0021","9",1,38,38,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0021","9",1,38,38,0,0,NA,NA,NA,"Single-exon recurrence assessed separately",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
"complete","HETDEL","HETDEL_cluster_0022","1;2;3;4;5;6;7;8;9",9,81,88,8,28.5615062085365,NA,NA,NA,"Multi-exon compactness not testable: invariant null",FALSE,FALSE,FALSE,FALSE,"average","HETDEL_cluster_0022","1;2;3;4;5;6;7;8;9",9,81,88,8,28.5615062085365,NA,NA,NA,"Multi-exon compactness not testable: invariant null",FALSE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE
