"protein","plddt_threshold","n_sim","reference_n_sim","n_clusters","n_significant","reference_n_significant","mean_absolute_p_difference","median_absolute_p_difference","root_mean_square_p_difference","maximum_absolute_p_difference","pvalue_spearman","significance_agreement","significance_flips","exact_significance_set_match"
"PTEN",90,100,1000,149,0,0,0.159411930186213,0,0.319532535101615,0.64823294587296,1,1,0,TRUE
"PTEN",90,200,1000,149,0,0,0.0883629776794341,0,0.177110464112127,0.359162862394024,1,1,0,TRUE
"PTEN",90,300,1000,149,0,0,0.0434304509785709,0,0.0866991416481064,0.175437205060079,1,1,0,TRUE
"PTEN",90,400,1000,149,0,0,0.0153300531062487,0,0.0305769456827196,0.116483451008431,1,1,0,TRUE
"PTEN",90,500,1000,149,0,0,0.00804151209866691,0,0.0186369442450777,0.1469332251831,0.999993783317533,1,0,TRUE
"PTEN",90,600,1000,149,0,0,0.00660428568713762,0,0.0135518296722735,0.0721745877016731,0.999993783317533,1,0,TRUE
"PTEN",90,700,1000,149,0,0,0.00966838193056897,0,0.0200049642903915,0.111947046078783,0.999993783317533,1,0,TRUE
"PTEN",90,800,1000,149,0,0,0.003584890337486,0,0.0095783826066948,0.0919258739379097,0.999998445828175,1,0,TRUE
"PTEN",90,900,1000,149,0,0,0.00238915612130551,0,0.00500728085095619,0.0297807931808224,1,1,0,TRUE
"PTEN",90,1000,1000,149,0,0,0,0,0,0,1,1,0,TRUE
"SUZ12",0,100,1000,96,0,0,0.0283183632734531,0,0.0810396945161712,0.406481155336386,0.998209169197793,1,0,TRUE
"SUZ12",0,200,1000,96,0,0,0.0187858606219904,0,0.059353822690255,0.402699551392265,0.979397363804396,1,0,TRUE
"SUZ12",0,300,1000,96,0,0,0.0181911287799677,0,0.0602746612512092,0.438500482478751,0.980991087776326,1,0,TRUE
"SUZ12",0,400,1000,96,0,0,0.0172006732803051,0,0.0550119764963854,0.337087019989871,0.998322914300366,1,0,TRUE
"SUZ12",0,500,1000,96,0,0,0.0159770929588366,0,0.0438001703532517,0.204618651143927,0.998898551860754,1,0,TRUE
"SUZ12",0,600,1000,96,0,0,0.00859776847191553,0,0.0272193611634233,0.152280157293387,0.99971838803019,1,0,TRUE
"SUZ12",0,700,1000,96,0,0,0.00676833654628066,0,0.0198197499893789,0.0922428646979545,0.999812261043225,1,0,TRUE
"SUZ12",0,800,1000,96,0,0,0.00591756014156227,0,0.0167855764659231,0.114563889677005,0.999674601386699,1,0,TRUE
"SUZ12",0,900,1000,96,0,0,0.00333096740738774,0,0.00919707468202867,0.0326176914463756,0.999655835026934,1,0,TRUE
"SUZ12",0,1000,1000,96,0,0,0,0,0,0,1,1,0,TRUE
"SUZ12",70,100,1000,69,0,0,0.0256026735956901,0,0.0890435104524328,0.507338264647176,0.963840012507176,1,0,TRUE
"SUZ12",70,200,1000,69,0,0,0.0169232492111487,0,0.0580912568475806,0.34542795596925,0.911843095212458,1,0,TRUE
"SUZ12",70,300,1000,69,0,0,0.0100704627792117,0,0.0367885422787258,0.188312117486881,0.966935921990845,1,0,TRUE
"SUZ12",70,400,1000,69,0,0,0.00732474052543842,0,0.0225138662333225,0.127655137486222,0.964578021703707,1,0,TRUE
"SUZ12",70,500,1000,69,0,0,0.00713441181612755,0,0.0210913929337686,0.0927070162463917,0.964491232246837,1,0,TRUE
"SUZ12",70,600,1000,69,0,0,0.00641088663829835,0,0.0267891056542199,0.153540095887958,0.964621434006129,1,0,TRUE
"SUZ12",70,700,1000,69,0,0,0.00505343827395377,0,0.018547065514186,0.128665745432213,0.964621434006129,1,0,TRUE
"SUZ12",70,800,1000,69,0,0,0.00409106251698418,0,0.0138153545870341,0.0626129287559545,1,1,0,TRUE
"SUZ12",70,900,1000,69,0,0,0.00398784679428059,0,0.0109950597341887,0.0440051161535023,1,1,0,TRUE
"SUZ12",70,1000,1000,69,0,0,0,0,0,0,1,1,0,TRUE
"SUZ12",90,100,1000,43,0,2,0.0414110220052371,0,0.0943990118996306,0.305036984853822,0.908268737090876,0.953488372093023,2,FALSE
"SUZ12",90,200,1000,43,0,2,0.0188699276556259,0,0.041740782328804,0.160036362917729,0.909776860389708,0.953488372093023,2,FALSE
"SUZ12",90,300,1000,43,0,2,0.0232493583601317,0,0.0512257027152082,0.161544460747379,0.941947573096588,0.953488372093023,2,FALSE
"SUZ12",90,400,1000,43,0,2,0.0105973405497232,0,0.0259444688296808,0.10260076861203,0.943219983944075,0.953488372093023,2,FALSE
"SUZ12",90,500,1000,43,0,2,0.00907422623482767,0,0.0219483811419068,0.09067124714714,0.943401780263422,0.953488372093023,2,FALSE
"SUZ12",90,600,1000,43,0,2,0.0110453588689113,0,0.0252953304802782,0.0853707866658709,0.943220005342572,0.953488372093023,2,FALSE
"SUZ12",90,700,1000,43,0,2,0.00650537525624561,0,0.0158409350777455,0.0534827780336762,0.943522938907762,0.953488372093023,2,FALSE
"SUZ12",90,800,1000,43,0,2,0.00524011421569087,0,0.0130739306375793,0.0636283542640405,0.943462353750933,0.953488372093023,2,FALSE
"SUZ12",90,900,1000,43,0,2,0.00369055114131043,0,0.0100180797109408,0.0448548579116711,0.999828493025383,0.953488372093023,2,FALSE
"SUZ12",90,1000,1000,43,2,2,0,0,0,0,1,1,0,TRUE
"TP53",0,100,1000,41,0,11,0.127698691569515,0,0.197920626084712,0.45285898790654,0.986469430093205,0.731707317073171,11,FALSE
"TP53",0,200,1000,41,0,11,0.0784873141907443,0,0.121849085336018,0.270370150787534,0.986523015277258,0.731707317073171,11,FALSE
"TP53",0,300,1000,41,0,11,0.0566974595470664,0,0.0866798384238926,0.190215595299467,0.986789845044454,0.731707317073171,11,FALSE
"TP53",0,400,1000,41,0,11,0.028340116272733,0,0.0452382065719754,0.132779217684035,0.986843252808273,0.731707317073171,11,FALSE
"TP53",0,500,1000,41,0,11,0.0164034965730768,0,0.0264028214418962,0.0676098003196794,0.995616299245465,0.731707317073171,11,FALSE
"TP53",0,600,1000,41,0,11,0.0176093805420518,0,0.0287893365869066,0.0563988302464838,0.995616299245465,0.731707317073171,11,FALSE
"TP53",0,700,1000,41,0,11,0.0136187911856088,0,0.0206054682148023,0.0341709742907348,1,0.731707317073171,11,FALSE
"TP53",0,800,1000,41,11,11,0.00565683304032407,0,0.00961694119789257,0.0388450032603123,0.999947300466354,1,0,TRUE
"TP53",0,900,1000,41,11,11,0.00215447100499126,0,0.00635853505531228,0.0289399028993011,0.988043357797748,1,0,TRUE
"TP53",0,1000,1000,41,11,11,0,0,0,0,1,1,0,TRUE
"TP53",70,100,1000,35,0,6,0.10499001996008,0.0165551250440297,0.160616673887192,0.341082540800751,0.986068844461049,0.828571428571429,6,FALSE
"TP53",70,200,1000,35,0,6,0.0783146578130867,0.0123712970099404,0.12563521132935,0.356613505661943,0.985747409986548,0.828571428571429,6,FALSE
"TP53",70,300,1000,35,0,6,0.0422115088649569,0.00300062127400824,0.0687441176149728,0.149951752124889,0.995061825350046,0.828571428571429,6,FALSE
"TP53",70,400,1000,35,0,6,0.0179164059939822,0.00223433729555811,0.0290395370871186,0.066910954210981,0.996416593849282,0.828571428571429,6,FALSE
"TP53",70,500,1000,35,0,6,0.0152275983036772,8.74744534835603e-05,0.024423220537207,0.0581625593434645,0.996735373520635,0.828571428571429,6,FALSE
"TP53",70,600,1000,35,0,6,0.0122930219295628,0.00210210807620639,0.0208444668993454,0.0639186742793483,0.998886591379036,0.828571428571429,6,FALSE
"TP53",70,700,1000,35,6,6,0.00659194431649521,0.00167186993534296,0.0128559221906865,0.0466076394220107,0.999363766502307,1,0,TRUE
"TP53",70,800,1000,35,6,6,0.00693674994151348,0.00101542550808607,0.0130981848440843,0.0380187256409873,0.999443343120421,1,0,TRUE
"TP53",70,900,1000,35,6,6,0.00503535216548215,0.00219074047027895,0.00780948666501094,0.0194201397648163,0.999920480298868,1,0,TRUE
"TP53",70,1000,1000,35,6,6,0,0,0,0,1,1,0,TRUE
"TP53",90,100,1000,33,0,6,0.0647546262199309,0,0.107101673827955,0.295761418339791,0.976361374654164,0.818181818181818,6,FALSE
"TP53",90,200,1000,33,0,6,0.0586076571729029,0,0.0926717569974827,0.213059030453944,0.993873715463819,0.818181818181818,6,FALSE
"TP53",90,300,1000,33,0,6,0.0274718473949152,0,0.0534692448599923,0.188669019576741,0.97626284683973,0.818181818181818,6,FALSE
"TP53",90,400,1000,33,0,6,0.0232542603621342,0,0.0461077594749409,0.151934936097953,0.994074618322103,0.818181818181818,6,FALSE
"TP53",90,500,1000,33,0,6,0.0157102190644667,0,0.0269167864969714,0.0850569776781099,0.994560230058196,0.818181818181818,6,FALSE
"TP53",90,600,1000,33,0,6,0.0154759443159387,0,0.0273697180031903,0.0906293724842673,0.997477031666767,0.818181818181818,6,FALSE
"TP53",90,700,1000,33,0,6,0.0122029962349324,0,0.0203353431518854,0.0508555538495658,0.997962426494402,0.818181818181818,6,FALSE
"TP53",90,800,1000,33,7,6,0.0102948338945173,0,0.0196279085649886,0.0661171422740554,0.997962426494402,0.96969696969697,1,FALSE
"TP53",90,900,1000,33,6,6,0.00263559422846171,0,0.00629818258463014,0.0238503038269359,1,1,0,TRUE
"TP53",90,1000,1000,33,6,6,0,0,0,0,1,1,0,TRUE
