"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","shared_residues","union_residues","jaccard","dice","overlap_coefficient","reference_recall","comparison_precision","size_difference","left_boundary_shift","right_boundary_shift","centroid_shift","reference_p_any","comparison_p_any","delta_p_any","log10_p_ratio","reference_significant","comparison_significant","significance_flip","protein","n_sim","plddt_threshold"
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0002","cluster_0004",7,7,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0003","cluster_0006",17,17,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0004","cluster_0005",15,15,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0005","cluster_0008",3,3,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0006","cluster_0009",7,7,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0007","cluster_0011",5,5,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0008","cluster_0002",3,3,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0009","cluster_0012",18,18,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0010","cluster_0013",9,9,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0011","cluster_0014",20,20,1,1,1,1,1,0,0,0,0,0.0199600798403194,0.152317880794702,0.132357800954383,0.882588614591669,TRUE,FALSE,TRUE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0012","cluster_0001",1,1,1,1,1,1,1,0,0,0,0,0.0598802395209581,0.152317880794702,0.0924376412737439,0.405467359872007,FALSE,FALSE,FALSE,"TP53",300,0
"TP53_trials1000_plddt0","TP53_trials300_plddt0","cluster_0013","cluster_0007",3,3,1,1,1,1,1,0,0,0,0,0.0598802395209581,0.152317880794702,0.0924376412737439,0.405467359872007,FALSE,FALSE,FALSE,"TP53",300,0
